S/N,Source Name,Data Link,Source Website,Country / Coverage,Link Description,Source Type,Industry,Institution Name,Available Formats,Access Type,Update Frequency,Last Updated (latest data seen),Notes,Category,Data Granularity,Language,API Available,Link Status,Priority for Platform
70,Africapolis,https://africapolis.org/,https://www.oecd.org/swac/,Africa (54 countries),"The most complete database of African urban agglomerations - over 9,000 cities and towns with population, area and growth from 1950.",International,Urbanisation / Population,OECD Sahel and West Africa Club,"Excel, CSV, Shapefile, Online",Free access,Periodic (major updates every few years),2024,"The definitive African urbanisation dataset, built on a consistent morphological definition of cities.",Pan-African Source,Sub-national,English and French,No,Live,High
71,Open Data Africa (community datasets),https://open-data-africa.github.io/datasets.html,https://open-data-africa.github.io/,Africa,Community-maintained index of African datasets published as an open catalogue.,NGO / Civic tech,Reference / Directory,Open Data Africa community,"CSV, Online",Free access,At will,2026,Similar in structure to this workbook - useful cross-check for coverage gaps.,Pan-African Source,Country-level,English and French,No,Live,High
72,Our World in Data,https://ourworldindata.org/,https://ourworldindata.org/,Global,"Research and interactive charts on development, health, energy, food, climate and demography with clean downloadable data for every African country.",Academic / Research institute,Multiple,"Our World in Data, University of Oxford","CSV, Excel, PNG/JPG, SVG, Embed, API",Free access,Continuous,2026,Fully open licence (CC-BY) and tidy CSVs - one of the safest sources to build a platform on.,Pan-African Source,Country-level,English,Yes,Live,High
73,Our World in Data - Electricity Production by Source,https://ourworldindata.org/grapher/electricity-production-by-source,https://ourworldindata.org/,Global,"Electricity generation by fuel source by country and year, downloadable as clean CSV with full African coverage.",Academic / Research institute,Energy,"Our World in Data, University of Oxford","CSV, Excel, PNG/JPG, SVG, Online, Embed",Free access,Annual,2024,OWID charts all expose a Download tab with tidy CSV - one of the easiest sources to ingest programmatically.,Global / Multi-region Source,Sub-national,English,No,Live,Medium-High
74,Our World in Data - Nigeria Energy Profile,https://ourworldindata.org/energy/country/nigeria,https://ourworldindata.org/,Nigeria,"Nigeria energy production, consumption, mix and access charts with downloadable data.",Academic / Research institute,Energy,"Our World in Data, University of Oxford","CSV, PNG/JPG, SVG, Online",Free access,Annual,2025,Same pattern works for every African country - swap the country slug.,National Source - Nigeria,Country-level,English,No,Live,Medium-High
75,Partech Africa Tech Venture Capital Report,https://partechpartners.com/africa-reports/2025-africa-tech-venture-capital-report,https://partechpartners.com/,Africa,"Annual analysis of African startup venture funding by country, sector, stage and investor type.",Private,Venture capital / Startups,Partech Partners,"PDF, Online",Free access,Annual,2026,One of the three main African VC datasets alongside The Big Deal and Briter Bridges. CORRECTED: the /africa-reports index 404s. This points to the current edition - change the year in the slug for earlier ones.,Pan-African Source,Country-level,English and French,No,Live,High
76,South African Institute of International Affairs (SAIIA),https://saiia.org.za/,https://saiia.org.za/,Africa,"Research on African governance, trade, natural resources, climate and foreign policy.",Academic / Research institute,Policy / International relations,South African Institute of International Affairs,"PDF, Online",Free access,Continuous,2026,,Pan-African Source,Country-level,English and French,No,Live,High
77,SADC - Statistics,https://www.sadc.int/pillars/statistics,https://www.sadc.int/,Southern Africa (16 member states),"Southern African regional statistics covering macroeconomic convergence, trade, demography and the SADC Statistical Yearbook.",International / Regional body,Macroeconomics / Multiple,Southern African Development Community,"PDF, Excel, Online",Free access,Annual,2025,SADC Selected Economic and Social Indicators is the core annual release.,Pan-African Source,Country-level,English and French,No,Live,High
78,SEACMEQ (formerly SACMEQ),https://www.seacmeq.org/,https://www.seacmeq.org/,Eastern and Southern Africa (16 systems),Comparable learning achievement and education quality data for eastern and southern African school systems.,International / Regional body,Education,Southern and Eastern Africa Consortium for Monitoring Educational Quality,"PDF, Excel",Free access,Irregular,2024,"The anglophone counterpart to PASEC. Automated check was blocked by the site (bot protection, TLS or robots.txt) on 18 Sep 2026; the page opens normally in a browser.",Pan-African Source,Country-level,English,No,Live - auto-check blocked,High
79,SWFI - African Central Bank Profiles,https://www.swfinstitute.org/profiles/central-bank/africa,https://www.swfinstitute.org/,Africa,Profiles of African central banks with reserve holdings and institutional detail.,Private,Finance / Central banking,Sovereign Wealth Fund Institute,Online,Partial free access,At will,2026,Useful directory; verify figures against the central banks themselves.,Pan-African Source,Country-level,English and French,No,Live,High
80,Startup Graveyard Africa,https://startupgraveyard.africa/,https://startupgraveyard.africa/,Africa,"Database of failed and shut-down African startups with sector, country, funding raised and shutdown reason.",Private,Startups / Venture capital,Startup Graveyard Africa,Online,Free access,At will,2026,A rare dataset on African startup failure - useful counterweight to funding-only trackers.,Pan-African Source,Country-level,English and French,No,Live,High
81,Statcounter - Social Media Stats Africa,https://gs.statcounter.com/social-media-stats/all/africa,https://statcounter.com/,Africa,"Monthly social media platform market share for Africa and for individual African countries, by device type.",Private,Digital / Social media,Statcounter,"CSV, PNG/JPG, Embed, Online",Free access,Monthly,2026,Cleaned link - the sheet's URL had a hard-coded date range that will expire.,Pan-African Source,Country-level,English and French,No,Live,High
82,Statcounter GlobalStats,https://gs.statcounter.com/,https://statcounter.com/,Global,"Market share statistics for browsers, operating systems, search engines, social media and screen resolutions, filterable to Africa and to individual African countries.",Private,Technology / Online media,Statcounter,"CSV, PNG/JPG, Embed, Online",Free access,Monthly,2026,One of very few free sources of country-level digital platform share for African markets.,Global / Multi-region Source,Country-level,English,No,Live,Medium-High
83,Stears,https://www.stears.co/,https://www.stears.co/,Nigeria / Africa,"Data-driven analysis of Nigerian and African markets, elections, energy and consumer sectors, with proprietary datasets.",Private,Economy / Markets,Stears,"Online, PDF, Excel",Partial free access,Continuous,2026,Nigerian-built research house with strong original data work.,Pan-African Source,Country-level,English,No,Live,High
84,Sustainable Energy for All - Research and Analysis,https://www.seforall.org/our-work/research-analysis,https://www.seforall.org/,Global (Africa focus),Energy access research including the Energizing Finance series and country-level electrification and clean cooking analysis across Africa.,NGO / Non-profit research,Energy / Energy access,Sustainable Energy for All (SEforALL),"PDF, Excel, Online",Free access,Annual / Periodic,2026,"Strong on African energy access finance flows, which few other sources track.",Pan-African Source,Country-level,English,No,Live,High
85,TechCabal Insights,https://insights.techcabal.com/,https://techcabal.com/,Africa,"Research reports and datasets on African technology, fintech, e-commerce and digital economy trends.",Private (Media),Technology / Fintech,TechCabal (Big Cabal Media),"PDF, Online",Partial free access,Periodic,2026,Nigerian-rooted but pan-African in coverage.,Pan-African Source,Country-level,English and French,No,Live,High
86,The Global Fund - Data Explorer,https://data.theglobalfund.org/,https://www.theglobalfund.org/,Global (deep Africa coverage),"Grant, disbursement, procurement and programme results data for HIV, TB and malaria programmes, with detailed African country breakdowns.",International,Health / Development finance,The Global Fund,"CSV, Excel, Online, API",Free access,Quarterly,2026,Includes price and volume data on health commodities delivered to African countries.,Pan-African Source,Country-level,English,Yes,Live,High
87,ONE Data & Analysis,https://data.one.org/,https://www.one.org/,Africa,"Advocacy-focused analysis on aid flows, African debt, health financing and development finance, with downloadable datasets.",NGO / Non-profit research,Development finance / Aid,The ONE Campaign,"Excel, PDF, Online",Free access,Periodic,2024,The Africa Debt and aid-tracking analyses are the most useful outputs.,Pan-African Source,Country-level,English and French,No,Live,High
88,Tony Blair Institute - Africa Research,https://institute.global/,https://institute.global/,Africa,"Policy research and data on African governance delivery, technology adoption, energy and economic reform.",NGO / Non-profit research,Policy / Technology,Tony Blair Institute for Global Change,"PDF, Online",Free access,Continuous,2026,,Pan-African Source,Country-level,English and French,No,Live,High
89,Trading Economics - Africa,https://tradingeconomics.com/countries,https://tradingeconomics.com/,Global,"High-frequency macroeconomic indicator series, forecasts and market data for African and global economies, sourced from official statistics.",Private,Macroeconomics / Markets,Trading Economics,"Excel, CSV, Online, API",Partial free access,Continuous,2026,Free tier is browse-only; the API is a paid product. Fast route to current African macro prints.,Pan-African Source,Country-level,English,Yes,Live,High
90,UEMOA / WAEMU Commission,https://www.uemoa.int/,https://www.uemoa.int/,West Africa (8 WAEMU states),"West African Economic and Monetary Union policy, convergence and regional statistics.",International / Regional body,Macroeconomics / Integration,UEMOA Commission,"PDF, Online",Free access,Annual,2026,"Pair with BCEAO's EDEN database for the underlying monetary series. Automated check was blocked by the site (bot protection, TLS or robots.txt) on 18 Sep 2026; the page opens normally in a browser.",Pan-African Source,Country-level,English and French,No,Live - auto-check blocked,High
91,UNECA - Africa Knowledge Management Hub,https://akmh.uneca.org/,https://www.uneca.org/,Africa,"Directory and knowledge hub indexing African UN system data portals, statistical frameworks and development datasets.",International,Reference / Multiple,UN Economic Commission for Africa,"Online, PDF",Free access,Continuous,2026,An excellent curated index of African data portals - useful for platform sourcing.,Pan-African Source,Country-level,English and French,No,Live,High
92,UNECA - Data and Statistics,https://www.uneca.org/data-and-statistics,https://www.uneca.org/,Africa (54 countries),"The UN Economic Commission for Africa's statistics hub: African Statistical Yearbook, country profiles, economic reports and statistical capacity resources.",International,All / Cross-sector,UN Economic Commission for Africa,"PDF, Excel, Online",Free access,Annual,2026,The African Statistical Yearbook is the flagship harmonised African statistical compendium. Also covers what was listed separately as 'ECAStats Data Portal' - both now resolve to this same page.,Pan-African Source,Sub-national,English and French,No,Live,High
93,UNAIDS - AIDSinfo,https://aidsinfo.unaids.org/,https://www.unaids.org/,Global (deep Africa coverage),"HIV epidemiology, treatment coverage, prevention and financing data by country and sub-national region, with the deepest coverage in eastern and southern Africa.",International,Health / HIV,UNAIDS,"CSV, Excel, Online",Free access,Annual,2026,The reference source for African HIV estimates.,Pan-African Source,Sub-national,English,No,Live,High
94,UIS Data Browser,https://databrowser.uis.unesco.org/,https://www.unesco.org/,Global,"Interactive browser for the full UNESCO education, science and culture indicator database with country and regional comparisons.",International,Education / Science,UNESCO Institute for Statistics,"CSV, Excel, Online, API",Free access,Annual,2026,The practical query interface for UIS data.,Pan-African Source,Country-level,English,Yes,Live,High
95,UNESCO Institute for Statistics (UIS),https://uis.unesco.org/,https://www.unesco.org/,Global,"The official source of internationally comparable education, science, culture and communication statistics for all African countries.",International,Education / Science / Culture,UNESCO Institute for Statistics,"CSV, Excel, Online, API",Free access,Annual (Feb & Sep releases),2025,"The authoritative African education indicator source - enrolment, completion, literacy and spending.",Pan-African Source,Country-level,English,Yes,Live,High
96,UNICEF Data Warehouse,https://data.unicef.org/,https://data.unicef.org/,Global,"Child-focused indicator database: child mortality, nutrition, education, protection, WASH and immunisation with African country and regional profiles.",International,Children / Health / Education,UNICEF,"CSV, Excel, Online, API",Free access,Annual,2026,The authoritative child wellbeing indicator set for African countries.,Pan-African Source,Country-level,English,Yes,Live,High
97,UNICEF MICS - Surveys and Datasets,https://mics.unicef.org/surveys,https://mics.unicef.org/,Global (deep Africa coverage),"Multiple Indicator Cluster Surveys covering child and women's health, education, protection, water and sanitation across African countries.",International,Health / Children / Social,UNICEF,"CSV, SPSS, PDF",Free but requires signup,Rolling (every ~5 years per country),2026,Complements DHS; often the only recent survey in countries DHS has not covered.,Pan-African Source,Country-level,English,No,Live,High
98,DHS STATcompiler,https://www.statcompiler.com/,https://dhsprogram.com/,Global (deep Africa coverage),Point-and-click tool for building custom DHS indicator tables and comparisons across African countries and survey rounds without downloading microdata.,International,Health / Population,USAID DHS Program (ICF),"Excel, CSV, PNG/JPG, Online, API",Free access,Rolling,2026,"Fastest way to extract comparable African health indicators. Automated check was blocked by the site (bot protection, TLS or robots.txt) on 18 Sep 2026; the page opens normally in a browser.",Pan-African Source,Microdata (household / firm level),English,Yes,Live - auto-check blocked,High
99,The DHS Program,https://dhsprogram.com/,https://dhsprogram.com/,Global (deep Africa coverage),"Demographic and Health Surveys: nationally representative data on fertility, family planning, child and maternal health, nutrition, HIV and malaria for almost every African country, going back to the 1980s.",International,Health / Population,USAID DHS Program (ICF),"CSV, Stata, SPSS, PDF, API",Free but requires signup,Rolling (every ~5 years per country),2025,The single most important African health and demographic microdata source. Free API (STATcompiler) for indicators.,Pan-African Source,Country-level,English,Yes,Live,High
100,The DHS Program - Spatial Data Repository,https://spatialdata.dhsprogram.com/,https://dhsprogram.com/,Global (deep Africa coverage),"Geospatial DHS data: survey cluster coordinates, modelled surfaces and sub-national health indicator boundaries for African countries.",International,Health / Geospatial,USAID DHS Program (ICF),"Shapefile, GeoTIFF, CSV, Online",Free but requires signup,Rolling,2025,Enables sub-national African health mapping.,Pan-African Source,Sub-national,English,No,Live,High
101,Uwezo,https://www.uwezo.net/,https://www.uwezo.net/,"East Africa (Kenya, Tanzania, Uganda)","Citizen-led household assessments of basic literacy and numeracy among East African children, with open microdata.",NGO / Civic tech,Education,Uwezo / Twaweza,"CSV, PDF, Online",Free access,Irregular,2015,Household-based rather than school-based - captures out-of-school children.,Pan-African Source,Microdata (household / firm level),English and French,No,Live,High
102,African Health Observatory (AHO),https://aho.afro.who.int/,https://www.afro.who.int/,Africa (47 member states),Platform on health systems and policies in the WHO African Region with country health profiles and health system data.,International,Health systems,WHO Regional Office for Africa,"PDF, Online",Free access,Annual,2022,,Pan-African Source,Country-level,English and French,No,Live,High
103,Wikipedia - List of African Stock Exchanges,https://en.wikipedia.org/wiki/List_of_African_stock_exchanges,https://en.wikipedia.org/,Africa,"Crowd-maintained list of African stock exchanges with country, city, founding year and market capitalisation.",Other / Community,Capital markets,Wikimedia Foundation,Online,Free access,At will,2025,Useful as a checklist only - figures go stale quickly. Use the exchange sheet in this workbook for verified links.,Pan-African Source,Sub-national,English and French,No,Live,High
104,Global Findex Database,https://www.worldbank.org/en/publication/globalfindex,https://www.worldbank.org/,Global (deep Africa coverage),"The definitive demand-side financial inclusion survey: account ownership, payments, savings, borrowing and mobile money use by country, sex, income and education.",International,Financial inclusion,World Bank,"CSV, Excel, PDF, Online",Free access,"Every 3-4 years (2011, 2014, 2017, 2021, 2025)",2025,The 2025 round is the current edition. Microdata is downloadable alongside the indicator tables.,Global / Multi-region Source,Country-level,English,No,Live,Medium-High
105,Remittance Prices Worldwide,https://remittanceprices.worldbank.org/,https://www.worldbank.org/,Global,Cost of sending remittances by corridor and provider - Sub-Saharan Africa remains the most expensive receiving region globally.,International,Remittances,World Bank,"Excel, CSV, Online",Free access,Quarterly,2025,Directly tracks SDG 10.c.1 for African corridors.,Global / Multi-region Source,Country-level,English,No,Live,Medium-High
106,World Bank - International Debt Statistics,https://www.worldbank.org/en/programs/debt-statistics/ids,https://www.worldbank.org/,Global (low & middle income),"External debt stocks, flows, creditor composition and debt service for low and middle income countries - the definitive African external debt dataset.",International,Debt / Public finance,World Bank,"CSV, Excel, Online, API",Free access,Annual (December),2025,"Includes creditor-level detail, which is essential for tracking bilateral and Chinese lending to Africa.",Global / Multi-region Source,Country-level,English,Yes,Live,Medium-High
107,World Bank - Logistics Performance Index,https://lpi.worldbank.org/,https://www.worldbank.org/,Global,"Comparable logistics performance scores across customs, infrastructure, shipments, tracking and timeliness for African countries.",International,Logistics / Trade,World Bank,"Excel, Online",Free access,Every 2-3 years,2025,,Global / Multi-region Source,Sub-national,English,No,Live,Medium-High
108,World Bank - World Development Indicators (Data Catalog),https://datacatalog.worldbank.org/search/dataset/0037712/World-Development-Indicators,https://www.worldbank.org/,Global,"The WDI dataset entry in the World Bank Data Catalog, offering full bulk download of all indicators and country metadata.",International,All / Cross-sector,World Bank,"CSV, Excel, API",Free access,"Quarterly (Mar, Jun, Sep, Dec)",2025,Bulk CSV download is the cleanest way to load the full WDI series into a platform database.,Global / Multi-region Source,Country-level,English,Yes,Live,Medium-High
109,World Bank - World Development Indicators Data Topics,https://datatopics.worldbank.org/world-development-indicators/,https://www.worldbank.org/,Global,"Thematic presentation of WDI with featured indicators, stories, regional aggregates and the Atlas of Sustainable Development Goals.",International,All / Cross-sector,World Bank,"CSV, Excel, PNG/JPG, Online",Free access,Quarterly,2026,Good narrative layer over WDI; use the Data Catalog entry for bulk data.,Global / Multi-region Source,Sub-national,English,No,Live,Medium-High
110,World Bank BOOST Public Expenditure Database,https://www.worldbank.org/en/programs/boost-portal,https://www.worldbank.org/,Global (growing Africa coverage),"Detailed, disaggregated government expenditure data drawn from national treasury systems for participating countries, several of them African.",International,Public finance,World Bank,"Excel, CSV, Online",Free access,Annual,2026,Line-item level public spending - unusually granular for African fiscal analysis.,Global / Multi-region Source,Country-level,English,No,Live,Medium-High
111,World Bank Data Catalog,https://datacatalog.worldbank.org/,https://www.worldbank.org/,Global,"Catalogue of all World Bank datasets with licensing, update frequency and bulk download links.",International,All / Cross-sector,World Bank,"CSV, Excel, API",Free access,Continuous,2026,Check the licence field before republishing any dataset on a platform.,Pan-African Source,Country-level,English,Yes,Live,High
112,World Bank Data360,https://data.worldbank.org/,https://www.worldbank.org/,Global,"Unified World Bank data platform bringing WDI, partner agency datasets (UNESCO, ILO, WHO) and indicators into one searchable interface with an API.",International,All / Cross-sector,World Bank,"CSV, Excel, Online, API",Free access,Continuous,2026,Newer consolidated platform - a good single integration point for a data product. NOTE: data360 redirected to data.worldbank.org at check time; both are live World Bank data entry points. Also covers what was listed separately as 'World Bank Open Data' - both now resolve to this same page.,Pan-African Source,Country-level,English,Yes,Live,High
113,World Bank DataBank,https://databank.worldbank.org/databases,https://www.worldbank.org/,Global,"Query-and-visualise tool across 80+ World Bank databases (WDI, Africa Development Indicators, Enterprise Surveys, Doing Business archive and more).",International,All / Cross-sector,World Bank,"CSV, Excel, Online, API",Free access,Continuous,2026,"Best tool for building custom multi-country, multi-indicator African datasets.",Global / Multi-region Source,Country-level,English,Yes,Live,Medium-High
114,World Bank EdStats,https://datatopics.worldbank.org/education/,https://www.worldbank.org/,Global,"Education indicator database combining UIS, learning assessment, expenditure and equity data with African country dashboards.",International,Education,World Bank,"CSV, Excel, Online",Free access,Annual,2025,Includes Learning Poverty estimates for African countries.,Pan-African Source,Country-level,English,No,Live,High
115,World Bank Microdata Library,https://microdata.worldbank.org/,https://www.worldbank.org/,Global (deep Africa coverage),"Catalogue of thousands of household, labour force, enterprise and agricultural survey datasets, including the LSMS-ISA panel surveys for Ethiopia, Malawi, Niger, Nigeria, Tanzania and Uganda.",International,Multiple / Microdata,World Bank,"CSV, Stata, SPSS, PDF",Free but requires signup,Continuous,2026,LSMS-ISA is the single richest African household panel data resource.,Pan-African Source,Microdata (household / firm level),English,No,Live,High
116,World Bank Projects and Operations,https://projects.worldbank.org/,https://www.worldbank.org/,Global,"Searchable database of every World Bank project with country, sector, commitment amount, status, documents and results.",International,Development finance,World Bank,"CSV, Excel, Online, API",Free access,Continuous,2024,Cleaned link - the sheet's URL had Nigeria and sector filters baked in.,Global / Multi-region Source,Country-level,English,Yes,Live,Medium-High
117,Worldwide Governance Indicators (WGI),https://www.worldbank.org/en/publication/worldwide-governance-indicators,https://www.worldbank.org/,Global,"Six composite governance dimensions - voice, stability, effectiveness, regulatory quality, rule of law, corruption control - for every African country from 1996.",International,Governance,World Bank,"Excel, CSV, Online",Free access,Annual (September),2025,The most widely used cross-country African governance series.,Global / Multi-region Source,Country-level,English,No,Live,Medium-High
118,World Integrated Trade Solution (WITS),https://wits.worldbank.org/,https://www.worldbank.org/,Global,"World Bank trade and tariff analysis platform combining UN Comtrade, TRAINS tariff data and WTO IDB for detailed African trade queries.",International,Trade,World Bank / UNCTAD / WTO,"Excel, CSV, Online, API",Free access,Annual,2023,Best free route to African applied tariff and trade-in-goods data combined.,Pan-African Source,Country-level,English,Yes,Live,High
119,Global Health Expenditure Database,https://apps.who.int/nha/database,https://www.who.int/,Global,"Comparable health financing data: total, government, out-of-pocket and external health expenditure by country and year.",International,Health financing,World Health Organization,"CSV, Excel, Online",Free access,Annual,2023,Essential for the Abuja Declaration health spending analysis across Africa.,Pan-African Source,Country-level,English,No,Live,High
120,WHO - World Health Statistics,https://www.who.int/data/gho/data/themes/theme-details/GHO/world-health-statistics,https://www.who.int/,Global,Annual compilation of WHO's core health statistics with country tables and African regional aggregates.,International,Health,World Health Organization,"CSV, Excel, PDF, Online",Free access,Annual (May),2026,The annex tables are the citable country-level health dataset.,Global / Multi-region Source,Country-level,English,No,Live,Medium-High
